Tweet,Time,Link,Media
Day 403.0: Arrived at Rosseland,2017-04-10 16:49:50.790000,http://wenamethestars.inkleby.com/feature/5196,http://wenamethestars.inkleby.com/static/moon/1753.png
Rosseland is named after Svein Rosseland - Norwegian astrophysicist (1894 -1985).,2017-04-10 16:50:50.790000,https://en.wikipedia.org/wiki/Svein_Rosseland,
Day 403.3: Arrived at Kozyrev,2017-04-10 23:20:15.630000,http://wenamethestars.inkleby.com/feature/3109,http://wenamethestars.inkleby.com/static/moon/1754.png
Kozyrev is named after Nikolai Alexandrovich Kozyrev - Soviet astronomer (1908 -1983).,2017-04-10 23:21:15.630000,https://en.wikipedia.org/wiki/Nikolai_Aleksandrovich_Kozyrev,
Day 403.5: Arrived at Carver,2017-04-11 04:26:37.590000,http://wenamethestars.inkleby.com/feature/1038,http://wenamethestars.inkleby.com/static/moon/1755.png
Carver is named after George Washington Carver - American botanist (1864 -1943).,2017-04-11 04:27:37.590000,https://en.wikipedia.org/wiki/George_Washington_Carver,
Day 403.7: Arrived at Coblentz,2017-04-11 10:13:56.100000,http://wenamethestars.inkleby.com/feature/1256,http://wenamethestars.inkleby.com/static/moon/1756.png
"Coblentz is named after William Weber Coblentz - American physicist, astronomer (1873 -1962).",2017-04-11 10:14:56.100000,https://en.wikipedia.org/wiki/William_Coblentz,
Day 403.9: Arrived at Bolyai,2017-04-11 14:55:58.710000,http://wenamethestars.inkleby.com/feature/806,http://wenamethestars.inkleby.com/static/moon/1757.png
Bolyai is named after Janos Bolyai - Hungarian mathematician (1802 -1860).,2017-04-11 14:56:58.710000,https://en.wikipedia.org/wiki/J%C3%A1nos_Bolyai,
Day 404.2: Arrived at Neujmin,2017-04-11 22:04:08.310000,http://wenamethestars.inkleby.com/feature/4223,http://wenamethestars.inkleby.com/static/moon/1758.png
Day 404.4: Arrived at Waterman,2017-04-12 03:15:08.640000,http://wenamethestars.inkleby.com/feature/6495,http://wenamethestars.inkleby.com/static/moon/1759.png
Waterman is named after Alan Tower Waterman - American physicist (1892 -1967).,2017-04-12 03:16:08.640000,https://en.wikipedia.org/wiki/Alan_Tower_Waterman,
Day 404.7: Arrived at Tsiolkovskiy,2017-04-12 08:55:35.850000,http://wenamethestars.inkleby.com/feature/6108,http://wenamethestars.inkleby.com/static/moon/1760.png
Tsiolkovskiy is named after Konstantin E. Tsiolkovskiy - Soviet physicist (1857 -1935).,2017-04-12 08:56:35.850000,https://en.wikipedia.org/wiki/Konstantin_Tsiolkovsky,
Day 405.0: Arrived at Shirakatsi,2017-04-12 17:39:01.080000,http://wenamethestars.inkleby.com/feature/5490,http://wenamethestars.inkleby.com/static/moon/1761.png
Shirakatsi is named after Anania Shirakatsi - Armenian geographer (620(?) -685(?)).,2017-04-12 17:40:01.080000,https://en.wikipedia.org/wiki/Anania_Shirakatsi,
Day 405.1: Arrived at Dobrovol'skiy,2017-04-12 19:45:10.350000,http://wenamethestars.inkleby.com/feature/1559,http://wenamethestars.inkleby.com/static/moon/1762.png
Day 405.3: Arrived at Volkov,2017-04-12 23:15:14.760000,http://wenamethestars.inkleby.com/feature/6428,http://wenamethestars.inkleby.com/static/moon/1763.png
"Volkov is named after Vladislav Nikolayevich Volkov - Soviet engineer, cosmonaut (1935 -1971).",2017-04-12 23:16:14.760000,https://en.wikipedia.org/wiki/Vladislav_Volkov,
Day 405.4: Arrived at Lander,2017-04-13 01:26:53.160000,http://wenamethestars.inkleby.com/feature/3265,http://wenamethestars.inkleby.com/static/moon/1764.png
Lander is named after Richard Lemon Lander - British explorer (1804 -1834).,2017-04-13 01:27:53.160000,https://en.wikipedia.org/wiki/Richard_Lemon_Lander,
Day 405.5: Arrived at Kira,2017-04-13 04:59:35.700000,http://wenamethestars.inkleby.com/feature/3045,http://wenamethestars.inkleby.com/static/moon/1765.png
Day 405.6: Arrived at Patsaev,2017-04-13 06:48:42.840000,http://wenamethestars.inkleby.com/feature/4611,http://wenamethestars.inkleby.com/static/moon/1766.png
"Patsaev is named after Viktor Ivanovich Patsaev - Soviet engineer, cosmonaut (1933 -1971).",2017-04-13 06:49:42.840000,https://en.wikipedia.org/wiki/Viktor_Patsayev,
Day 405.8: Arrived at Bondarenko,2017-04-13 12:28:02.820000,http://wenamethestars.inkleby.com/feature/813,http://wenamethestars.inkleby.com/static/moon/1767.png
Day 406.1: Arrived at Chauvenet,2017-04-13 19:27:00.630000,http://wenamethestars.inkleby.com/feature/1165,http://wenamethestars.inkleby.com/static/moon/1768.png
"Chauvenet is named after William Chauvenet - American astronomer, mathematician (1820 -1870).",2017-04-13 19:28:00.630000,https://en.wikipedia.org/wiki/William_Chauvenet,
Day 406.3: Arrived at Ten Bruggencate,2017-04-14 00:32:19.140000,http://wenamethestars.inkleby.com/feature/5919,http://wenamethestars.inkleby.com/static/moon/1769.png
Ten Bruggencate is named after Paul Bruggencate - German astronomer (1901 -1961).,2017-04-14 00:33:19.140000,https://en.wikipedia.org/wiki/Paul_ten_Bruggencate,
Day 406.5: Arrived at Lane,2017-04-14 04:34:52.410000,http://wenamethestars.inkleby.com/feature/3268,http://wenamethestars.inkleby.com/static/moon/1770.png
"Lane is named after Jonathan Homer Lane - American physicist, astrophysicist (1819 -1880).",2017-04-14 04:35:52.410000,https://en.wikipedia.org/wiki/Jonathan_Homer_Lane,
Day 406.7: Arrived at Perepelkin,2017-04-14 10:44:24.450000,http://wenamethestars.inkleby.com/feature/4655,http://wenamethestars.inkleby.com/static/moon/1771.png
Day 406.9: Arrived at Love,2017-04-14 14:56:10.950000,http://wenamethestars.inkleby.com/feature/3487,http://wenamethestars.inkleby.com/static/moon/1772.png
"Love is named after Augustus Edward Hough Love - British mathematician, geophysicist (1863 -1940).",2017-04-14 14:57:10.950000,https://en.wikipedia.org/wiki/Augustus_Edward_Hough_Love,
Day 407.1: Arrived at Prager,2017-04-14 18:49:01.200000,http://wenamethestars.inkleby.com/feature/4817,http://wenamethestars.inkleby.com/static/moon/1773.png
Prager is named after Richard Prager - German -American astronomer (1883 -1945).,2017-04-14 18:50:01.200000,https://en.wikipedia.org/wiki/Richard_Prager,
Day 407.3: Arrived at Catena Gregory,2017-04-14 23:14:46.140000,http://wenamethestars.inkleby.com/feature/1060,http://wenamethestars.inkleby.com/static/moon/1774.png
Day 407.8: Arrived at Necho,2017-04-15 11:15:22.860000,http://wenamethestars.inkleby.com/feature/4182,http://wenamethestars.inkleby.com/static/moon/1775.png
Day 407.9: Arrived at Bečvář,2017-04-15 15:34:35.310000,http://wenamethestars.inkleby.com/feature/727,http://wenamethestars.inkleby.com/static/moon/1776.png
Bečvář is named after Antonin Bečvář - Czechoslovakian astronomer (1901 -1965).,2017-04-15 15:35:35.310000,https://en.wikipedia.org/wiki/Anton%C3%ADn_Be%C4%8Dv%C3%A1%C5%99,
Day 408.2: Arrived at Zanstra,2017-04-15 21:22:48,http://wenamethestars.inkleby.com/feature/6700,http://wenamethestars.inkleby.com/static/moon/1777.png
Zanstra is named after Herman Zanstra - Dutch astronomer (1894 -1972).,2017-04-15 21:23:48,https://en.wikipedia.org/wiki/Herman_Zanstra,
Day 408.4: Arrived at Gregory,2017-04-16 02:02:31.470000,http://wenamethestars.inkleby.com/feature/2246,http://wenamethestars.inkleby.com/static/moon/1778.png
Day 408.5: Arrived at Morozov,2017-04-16 05:14:58.920000,http://wenamethestars.inkleby.com/feature/4040,http://wenamethestars.inkleby.com/static/moon/1779.png
Day 408.9: Arrived at Meshcherskiy,2017-04-16 13:29:40.020000,http://wenamethestars.inkleby.com/feature/3866,http://wenamethestars.inkleby.com/static/moon/1780.png
Meshcherskiy is named after Ivan Vsevolodovich Meshcherskiy - Russian mathematician (1859 -1935).,2017-04-16 13:30:40.020000,https://en.wikipedia.org/wiki/Ivan_Vsevolodovich_Meshcherskiy,
Day 409.0: Arrived at Recht,2017-04-16 17:08:43.080000,http://wenamethestars.inkleby.com/feature/4974,http://wenamethestars.inkleby.com/static/moon/1781.png
"Recht is named after Albert W. Recht - American astronomer, mathematician (1892 -1962).",2017-04-16 17:09:43.080000,https://en.wikipedia.org/wiki/Recht_(crater),
Day 409.2: Arrived at Ostwald,2017-04-16 20:44:09.690000,http://wenamethestars.inkleby.com/feature/4514,http://wenamethestars.inkleby.com/static/moon/1782.png
Ostwald is named after Wilhelm Ostwald - German chemist; Nobel laureate (1853 -1932).,2017-04-16 20:45:09.690000,https://en.wikipedia.org/wiki/Wilhelm_Ostwald,
Day 409.2: Arrived at Carol,2017-04-16 22:41:50.190000,http://wenamethestars.inkleby.com/feature/1024,http://wenamethestars.inkleby.com/static/moon/1783.png
Day 409.3: Arrived at Romeo,2017-04-16 23:54:06.030000,http://wenamethestars.inkleby.com/feature/5175,http://wenamethestars.inkleby.com/static/moon/1784.png
Day 409.3: Arrived at Shahinaz,2017-04-17 00:20:51.180000,http://wenamethestars.inkleby.com/feature/5451,http://wenamethestars.inkleby.com/static/moon/1785.png
Day 409.3: Arrived at Ibn Firnas,2017-04-17 01:06:47.700000,http://wenamethestars.inkleby.com/feature/2634,http://wenamethestars.inkleby.com/static/moon/1786.png
"Ibn Firnas is named after Abbas Ibn Firnas - Spanish -Arab humanitarian, technologist (unkn - A.D. 887).",2017-04-17 01:07:47.700000,https://en.wikipedia.org/wiki/Abbas_ibn_Firnas,
Day 409.4: Arrived at Kasper,2017-04-17 02:39:25.650000,http://wenamethestars.inkleby.com/feature/2946,http://wenamethestars.inkleby.com/static/moon/1787.png
